ContactsContactID,VanID,ResultID,CanvassedBy,CommitteeID,CreatedBy,DateCreated,DateCanvassed,InputTypeID,ContactTypeID,ChangeTypeId,ErrorMessage
1880406,101553264,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:08:00 PM,14,2,1,
1880407,101553317,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:21:00 PM,14,2,1,
1880408,101553454,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:13:00 PM,14,2,1,
1880409,101553530,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:40:00 PM,14,2,1,
1880410,101553611,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:04:00 PM,14,2,1,
1880411,101553787,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:28:00 PM,14,2,1,
1880412,101553895,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:01:00 PM,14,2,1,
1880413,101555152,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:00:00 PM,14,2,1,
1880414,101555233,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:58:00 PM,14,2,1,
1880415,101555287,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:38:00 PM,14,2,1,
1880416,101555320,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:10:00 PM,14,2,1,
1880417,101555449,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:19:00 PM,14,2,1,
1880418,101555599,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:00:00 PM,14,2,1,
1880419,101555618,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:01:00 PM,14,2,1,
1880420,101555677,14,2194769,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:06:00 PM,14,2,1,
1880421,101552441,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:05:00 PM,14,2,1,
1880422,101552662,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:24:00 PM,14,2,1,
1880423,101552680,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:09:00 PM,14,2,1,
1880424,101552808,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:50:00 PM,14,2,1,
1880425,101553040,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:36:00 PM,14,2,1,
1880426,101553121,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:25:00 PM,14,2,1,
1880427,101553197,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:25:00 PM,14,2,1,
1880428,101553319,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:27:00 PM,14,2,1,
1880429,101553590,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:46:00 PM,14,2,1,
1880430,101553602,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:34:00 PM,14,2,1,
1880431,101553606,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:50:00 PM,14,2,1,
1880432,101553647,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:23:00 PM,14,2,1,
1880433,101553784,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:07:00 PM,14,2,1,
1880434,101553793,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:58:00 PM,14,2,1,
1880435,101553907,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:04:00 PM,14,2,1,
1880436,101555082,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:46:00 PM,14,2,1,
1880437,101555085,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:45:00 PM,14,2,1,
1880438,101555272,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:32:00 PM,14,2,1,
